Nombre del buque 	Señal Distintiva 	Matrícula 	País 	Categoría (*) 	Eslora (m) 	Puerto
AINOHA 	CXVF 	MVDEO-8293 	Uruguay 	C 	29.18 	Montevideo
ALBAMAR 		MVDEO-7798 	Uruguay 	B 	20.9 	Montevideo
ANTARES I 		MVDEO-7671 	Uruguay 	B 	19.62 	Montevideo
ARTHUR SEIF 		MVDEO-8617 	Uruguay 	C 	22.15 	Montevideo
ATLANTIC BEATRICE 		MVDEO-7953 	Uruguay 	A 	46.23 	Montevideo
ATLANTIC JANE 		MVDEO-7896 	Uruguay 	A 	46.23 	Montevideo
ATLANTIC MARGARET 		MVDEO-7895 	Uruguay 	A 	46.23 	Montevideo
ATLANTIC RUTHANN 		MVDEO-7894 	Uruguay 	A 	46.23 	Montevideo
BADARO 		MVDEO-8625 	Uruguay 		49.9 	Montevideo
BESUGO I 		MVDEO-7635 	Uruguay 	B 	19.62 	Montevideo
BESUGO II 		MVDEO-7636 	Uruguay 	B 	19.62 	Montevideo
CACIQUE 		MVDEO-7943 	Uruguay 	B 	22.27 	Montevideo
CALON I 		MVDEO-5708 	Uruguay 	B 	18.63 	Montevideo
CALON II 		MVDEO-5709 	Uruguay 	B 	18.63 	Montevideo
COPAMAR 		MVDEO-7799 	Uruguay 	B 	20.9 	Montevideo
CORAL 		MVDEO-8056 	Uruguay 	A 	58.42 	Montevideo
DARTESA I 		MVDEO-5381 	Uruguay 	B 	25.5 	Montevideo
DARTESA II 		MVDEO-5382 	Uruguay 	B 	20.25 	Montevideo
DARTESA III 		MVDEO-5668 	Uruguay 	B 	21.7 	Montevideo
EMPERADOR 		MVDEO-7867 	Uruguay 	B 	21.17 	Montevideo
ESPARTACO 		MVDEO-7653 	Uruguay 	B 	20.5 	Montevideo
EXPRESO OPTIMO 2 		MVDEO-6940 	Uruguay 	B 	21.35 	Montevideo
FLORIDA S-1 		MVDEO-1756 	Uruguay 	B 	27 	Montevideo
HECHICERO 		MVDEO-7788 	Uruguay 	B 	20.9 	Montevideo
INSIGNIA I 		MVDEO-7285 	Uruguay 	B 	27.15 	Montevideo
KRIOS 		MVDEO-7904 	Uruguay 	B 	21.42 	Montevideo
LA CRUZ DEL SUR 		MVDEO-7791 	Uruguay 	B 	30.65 	Montevideo
LA PALOMA I 		MVDEO-6093 	Uruguay 	B 	20.85 	Montevideo
MANDRAKE I 		MVDEO-7665 	Uruguay 	B 	27 	Montevideo
MARIA LAURA I 		MVDEO-6948 	Uruguay 	B 	25 	Montevideo
MARIANNE 		MVDEO-7886 	Uruguay 	A 	43.92 	Montevideo
MOUSE SEIF 		MVDEO-8618 	Uruguay 	C 	21.68 	Montevideo
NILTO I 		MVDEO-7887 	Uruguay 	A 	43.92 	Montevideo
NONI II 		MVDEO-7941 	Uruguay 	B 	21.94 	Montevideo
PINTAMAR 		MVDEO-7486 	Uruguay 	B 	24.48 	Montevideo
PROA PIONEER 		MVDEO-8516 	Uruguay 	D 	42.19 	Montevideo
PROMAR XXI 		MVDEO-7883 	Uruguay 	B 	24.75 	Montevideo
PROMAR XXII 		MVDEO-7884 	Uruguay 	B 	24.75 	Montevideo
PROMOPES I 		MVDO-6630 	Uruguay 	A 	29.19 	Montevideo
PROMOPES II 		MVDEO-6944 	Uruguay 	A 	30.76 	Montevideo
QIAN LIAN - 2 		MVDEO-8362 	Uruguay 	B 	23.04 	Montevideo
RIANXO 		MVDEO-7767 	Uruguay 	B 	20.99 	Montevideo
RIO SOLIS II 		MVDEO-8341 	Uruguay 		57.79 	Montevideo
RIO SOLIS III 		MVDEO-8595 	Uruguay 		57.79 	Montevideo
S-5 LAVALLEJA 		MVDEO-5445 	Uruguay 	B 	26 	Montevideo
SANTA MARIA DEL MAR 		MVDEO-6043 	Uruguay 	B 	20.78 	Montevideo
SOPESCA 		MVDEO-7890 	Uruguay 	B 	22.39 	Montevideo
TACUAREMBO S-2 		MVDEO-1757 	Uruguay 	B 	27 	Montevideo
TORRES DEL PAINE 		MVDEO-8078 	Uruguay 		27.65 	Montevideo
VILLALONGA 		MVDEO-7931 	Uruguay 	B 	21.42 	Montevideo
ZAANDAM 		MVDEO-7897 	Uruguay 	A 	43 	Montevideo
ZURITA 		MVDEO-7898 	Uruguay 	A 	46.23 	Montevideo
10 DE NOVIEMBRE 		01074 	Argentina 	ALTURA, FRESQUERO 	25.6 	
7 DE DICIEMBRE 		0607 	Argentina 	ALTURA, FRESQUERO 	27.2 	
ALBA II 		01450 	Argentina 	RADA O RIA, FRESQUERO 	13.5 	
ALCO BARI 		01008 	Argentina 	ALTURA,PROC.CONGELADOR 	38.6 	
ALDEBARAN 		01741 	Argentina 	ALTURA, FRESQUERO 	26.42 	
ALTALENA 		0181 	Argentina 	ALTURA, FRESQUERO 	55.8 	
ALTAR 		02906 	Argentina 	COSTEROS, FRESQUERO 	19.94 	
ALVAREZ ENTRENA I 		02454 	Argentina 	ALTURA,PROC.CONGELADOR 	39.43 	
ALVAREZ ENTRENA II 		02465 	Argentina 	ALTURA,PROC.CONGELADOR 	39.5 	
ALVAREZ ENTRENA III 		02379 	Argentina 	ALTURA,PROC.CONGELADOR 	31.9 	
