name,signal,registration,country,category,length,port,mmsi
10 DE NOVIEMBRE,,1074,Argentina,"ALTURA, FRESQUERO",25.6,,NA
7 DE DICIEMBRE,,607,Argentina,"ALTURA, FRESQUERO",27.2,,NA
ALBA II,,1450,Argentina,"RADA O RIA, FRESQUERO",13.5,,NA
ALVAREZ ENTRENA III,,2379,Argentina,"ALTURA,PROC.CONGELADOR",31.9,,NA
AMERICA I,,401,Argentina,"COSTEROS, FRESQUERO",23.09,,NA
ANA III,,10,Argentina,"COSTEROS, FRESQUERO",19.95,,NA
ANAVE,,2701,Argentina,"COSTEROS, FRESQUERO",18.08,,NA
ANGEL ANTONIO,,280,Argentina,"RADA O RIA, FRESQUERO",13.6,,NA
ANGELA,,1229,Argentina,"RADA O RIA, FRESQUERO",15.7,,NA
ANGELO PADRE,,1396,Argentina,"RADA O RIA, FRESQUERO",15.3,,NA
ANTARTIDA.,,681,Argentina,"RADA O RIA, FRESQUERO",13.38,,NA
ANTONELLA,,33,Argentina,"COSTEROS, FRESQUERO",16.25,,NA
ANTONINO,,877,Argentina,"ALTURA, FRESQUERO",27.6,,NA
ARGENOVA XI,,2199,Argentina,"ALTURA,PROC.CONGELADOR",45.2,,NA
ARGENOVA XXIV,,2752,Argentina,"ALTURA,PROC.CONGELADOR",38.8,,NA
AURORA,,2581,Argentina,"ALTURA,PROC.CONGELADOR",67.55,,NA
BAFFETTA,,2635,Argentina,"COSTEROS, FRESQUERO",19.45,,NA
BAHIA ENGAÑO,,561,Argentina,"RADA O RIA, FRESQUERO",17.3,,NA
BELVEDERE,,1398,Argentina,"ALTURA, FRESQUERO",26.5,,NA
BETTY,,952,Argentina,"RADA O RIA, FRESQUERO",15.3,,NA
BONFIGLIO,,1234,Argentina,"COSTEROS, FRESQUERO",21.05,,NA
CABO SAN JUAN,,23,Argentina,"ALTURA, FRESQUERO",41.6,,NA
CABO VIRGENES,,24,Argentina,"ALTURA, FRESQUERO",41.6,,NA
CALETA PAULA,,2355,Argentina,"COSTEROS, FRESQUERO",15.3,,NA
CALLEJA,,1566,Argentina,"COSTEROS, FRESQUERO",21.83,,NA
CAMERIGE,,1406,Argentina,"ALTURA, FRESQUERO",27.9,,NA
CAMILO II,,776,Argentina,"RADA O RIA, FRESQUERO",14.2,,NA
CANAL DE BEAGLE,,407,Argentina,"COSTEROS, FRESQUERO",23.9,,NA
CARLO BUTTI,,1970,Argentina,"RADA O RIA, FRESQUERO",12.9,,NA
CARLOS I,,1014,Argentina,"RADA O RIA, FRESQUERO",17.4,,NA
CARMELO A,,405,Argentina,"COSTEROS, FRESQUERO",21.83,,NA
CARMEN A,,2045,Argentina,"COSTEROS, FRESQUERO",15.3,,NA
CEFERINO NAMUNCURA,,1608,Argentina,"RADA O RIA, FRESQUERO",14.79,,NA
CENTAURO I,,1177,Argentina,"RADA O RIA, FRESQUERO",13.1,,NA
CETUS,,530,Argentina,"ALTURA,PROC.CONGELADOR",59.55,,NA
CHATKA I,,2893,Argentina,"COSTEROS, FRESQUERO",16.73,,NA
CHIARPESCA 902,,2110,Argentina,"ALTURA,PROC.CONGELADOR",59.3,,NA
CHUBASCO,,1184,Argentina,"COSTEROS, FRESQUERO",19.95,,NA
CIUDAD DE DIAMANTE,,527,Argentina,"COSTEROS, FRESQUERO",17.45,,NA
CIUDAD DE HUELVA,,1519,Argentina,"ALTURA, FRESQUERO",27.45,,NA
CONAVAL II,,1180,Argentina,"RADA O RIA, FRESQUERO",12.42,,NA
CONSTANCIA,,971,Argentina,"COSTEROS, FRESQUERO",21.22,,NA
CONTE VIANCAMANO,,0341M,Argentina,"RADA O RIA, FRESQUERO",9.8,,NA
CORAL BLANCO,,409,Argentina,"ALTURA,PROC.CONGELADOR",50.75,,NA
CRISTINA ANTONIA,,1824,Argentina,"RADA O RIA, FRESQUERO",13.04,,NA
CRISTO REY,,931,Argentina,"RADA O RIA, FRESQUERO",14.37,,NA
DANNY,,520,Argentina,"RADA O RIA, FRESQUERO",11.89,,NA
DOCK URANO,,1700,Argentina,"COSTEROS, FRESQUERO",17.02,,NA
DOCTOR JUAN JOSE TRAVERSONI,,30,Argentina,"RADA O RIA, FRESQUERO",12,,NA
DON AGUSTIN,,968,Argentina,"ALTURA, FRESQUERO",25.6,,NA
DON BOCHA,,2921,Argentina,"COSTEROS, FRESQUERO",17.98,,NA
DON CARLOS I,,2358,Argentina,"COSTEROS, FRESQUERO",12.65,,NA
DON CARMELO,,1320,Argentina,"COSTEROS, FRESQUERO",19.04,,NA
DON DARIO,,976,Argentina,"COSTEROS, FRESQUERO",15.4,,NA
DON DOMINGO,,319,Argentina,"RADA O RIA, FRESQUERO",18.2,,NA
DON ESCIPION,,2322,Argentina,"COSTEROS, FRESQUERO",23.6,,NA
DON JOSE,,892,Argentina,"COSTEROS, FRESQUERO",16.49,,NA
DON JUAN D'AMBRA,,1884,Argentina,"ALTURA, FRESQUERO",58.75,,NA
DON JUAN.,,1397,Argentina,"ALTURA, FRESQUERO",27,,NA
DON MARIO,,1400,Argentina,"RADA O RIA, FRESQUERO",16.5,,NA
DON NINO,,923,Argentina,"RADA O RIA, FRESQUERO",15,,NA
DON OSCAR,,2184,Argentina,"COSTEROS, FRESQUERO",16.25,,NA
DON PABLO PENNISI,,960,Argentina,"RADA O RIA, FRESQUERO",13.08,,NA
DON RAIMUNDO,,1431,Argentina,"ALTURA, FRESQUERO",25.6,,NA
DON SALVADOR,,2700,Argentina,"COSTEROS, FRESQUERO",12.9,,NA
DON TOMASSO,,2310,Argentina,"COSTEROS, FRESQUERO",17,,NA
DOÑA ALFIA,,512,Argentina,"COSTEROS, FRESQUERO",20.7,,NA
DOÑA MANUELA,,694,Argentina,"RADA O RIA, FRESQUERO",15.05,,NA
DOY GRACIAS A DIOS,,222,Argentina,"RADA O RIA, FRESQUERO",15.45,,NA
DR. CARLOS OTTOLENGHI,,2188,Argentina,"COSTEROS, FRESQUERO",16.4,,NA
DUE FRATELLI,,1503,Argentina,"RADA O RIA, FRESQUERO",13.91,,NA
EL BARBA NEGRA,,2847,Argentina,"COSTEROS, FRESQUERO",16.55,,NA
