"name","signal","registration","country","category","length","port","mmsi"
"10 DE NOVIEMBRE","","01074","Argentina","ALTURA, FRESQUERO",25.6,"",NA
"7 DE DICIEMBRE","","0607","Argentina","ALTURA, FRESQUERO",27.2,"",NA
"AINOHA","CXVF","MVDEO-8293","Uruguay","C",29.18,"Montevideo",NA
"ALBA II","","01450","Argentina","RADA O RIA, FRESQUERO",13.5,"",NA
"ALBAMAR","","MVDEO-7798","Uruguay","B",20.9,"Montevideo",770576113
"ALCO BARI","","01008","Argentina","ALTURA,PROC.CONGELADOR",38.6,"",NA
"ALDEBARAN","","01741","Argentina","ALTURA, FRESQUERO",26.42,"",249771000
"ALTALENA","","0181","Argentina","ALTURA, FRESQUERO",55.8,"",701000835
"ALTAR","","02906","Argentina","COSTEROS, FRESQUERO",19.94,"",NA
"ALVAREZ ENTRENA I","","02454","Argentina","ALTURA,PROC.CONGELADOR",39.43,"",701007044
"ALVAREZ ENTRENA II","","02465","Argentina","ALTURA,PROC.CONGELADOR",39.5,"",NA
"ALVAREZ ENTRENA III","","02379","Argentina","ALTURA,PROC.CONGELADOR",31.9,"",NA
"ALVAREZ ENTRENA IV","","02761","Argentina","COSTEROS, FRESQUERO",17.2,"",NA
"ALVAREZ ENTRENA V","","02279","Argentina","ALTURA,PROC.CONGELADOR",30.5,"",NA
"ALVER","","01576","Argentina","ALTURA,PROC.CONGELADOR",35.03,"",NA
"AMERICA I","","0401","Argentina","COSTEROS, FRESQUERO",23.09,"",NA
"ANABELLA M","","0175","Argentina","ALTURA,PROC.CONGELADOR",64.8,"",NA
"ANA III","","010","Argentina","COSTEROS, FRESQUERO",19.95,"",NA
"ANAVE","","02701","Argentina","COSTEROS, FRESQUERO",18.08,"",NA
"ANGELA","","01229","Argentina","RADA O RIA, FRESQUERO",15.7,"",NA
"ANGEL ANTONIO","","0280","Argentina","RADA O RIA, FRESQUERO",13.6,"",NA
"ANGELO PADRE","","01396","Argentina","RADA O RIA, FRESQUERO",15.3,"",NA
"ANGELUS","","01953","Argentina","ALTURA,PROC.CONGELADOR",52.6,"",NA
"ANITA ALVAREZ","","02138","Argentina","ALTURA,PROC.CONGELADOR",25.5,"",701000899
"ANTARES I","","MVDEO-7671","Uruguay","B",19.62,"Montevideo",701000966
"ANTARTIDA.","","0681","Argentina","RADA O RIA, FRESQUERO",13.38,"",NA
"ANTONELLA","","033","Argentina","COSTEROS, FRESQUERO",16.25,"",NA
"ANTONINO","","0877","Argentina","ALTURA, FRESQUERO",27.6,"",NA
"ANTONIO ALVAREZ","","01429","Argentina","ALTURA,PROC.CONGELADOR",36.6,"",NA
"API V","","02781","Argentina","ALTURA,PROC.CONGELADOR",77.4,"",701006445
"API VI","","02812","Argentina","ALTURA,PROC.CONGELADOR",36.35,"",701006468
"ARAUCANIA","","01384","Argentina","ALTURA, FRESQUERO",28.3,"",NA
"ARBUMASA I","","0248","Argentina","ALTURA,PROC.CONGELADOR",35.3,"",NA
"ARBUMASA X","","0260","Argentina","ALTURA,PROC.CONGELADOR",35.3,"",NA
"ARBUMASA XIV","","0213","Argentina","ALTURA,PROC.CONGELADOR",36.4,"",701006074
